,ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-05 01:50:36.504518,2021-12-01 12:18:01-05:00,65,0,233800,224847991414640486,217990414920103943,221392653316295590,233900,224847991414640486,217990414920103943,221392653316295590,35224298143954673,6093750138414110,29130548005540563,276,44127655113,36597049076,250028221
2021-12-05 01:50:36.504518,2021-12-01 22:00:14-05:00,66,0,233900,225156178849312723,217692035781229298,221392653316295590,233900,236413987769262741,228576637548521559,232462285982110369,32346764358312635,3524403787444309,28822360570868326,257,46152072681,33834271690,3139580757
2021-12-05 01:50:36.504518,2021-12-01 22:00:56-05:00,67,1,57190823,2728157211509016,2724641829466593,2726398953902089,57190823,2864565071811651,2860873920667458,2862718901597193,2430014326350,5666424311747,-3236409985397,40,9167890469,7870497731,1029435
2021-12-05 01:50:36.504518,2021-12-01 22:01:45-05:00,68,2,4320000,7813225061157899,8269183159832313,8037971703091937,4320000,8203886313434471,8682642316997010,8439870288246533,178945613657213,25731218750435,153214394906778,38,5357959287,2768256562,62981280
2021-12-05 01:50:36.504518,2021-12-02 20:11:26-05:00,69,2,4320000,8249143174675098,8635007172757932,8439870288246533,4320000,9074057491317693,9498507889170224,9283857317071186,144887935921079,36930402254928,107957533666151,59,6700930251,3974926471,56656800
2021-12-05 01:50:36.504518,2021-12-02 20:12:31-05:00,70,2,4320000,9074057491317693,9498507889170224,9283857317071186,4320000,10888868988673825,11398209466054418,11140628780485423,144887935921079,36930402254928,107957533666151,59,6700930251,3880201831,94724640
2021-12-05 01:50:36.504518,2021-12-02 20:19:14-05:00,71,1,57190823,2871636800072069,2853828697750414,2862718901597193,57190823,3015218639788508,2996520132352551,3005854846677052,3809018896357,14117157142172,-10308138245815,54,11904277514,10409107658,10065585
2021-12-05 01:50:36.504518,2021-12-02 20:19:53-05:00,72,0,233900,233158455685693701,231768194917514252,232462285982110369,233900,240153209332948666,238721240741862860,239436154561573680,32858729509760500,780836855323134,32077892654437366,334,51705748667,35234286099,2317640252
2021-12-05 01:50:36.504518,2021-12-03 08:09:29-05:00,73,0,233900,238248713615092909,240629513760371469,239436154561573680,233950,238248713615092909,240629513760371469,239436154561573680,34761447394593312,779059022300189,33982388372293123,364,53479749342,36149400640,150187938
2021-12-05 01:50:36.504518,2021-12-03 10:47:22-05:00,74,0,233950,242987156788392584,235937046504724648,239436154561573680,233950,250276771467745645,243015157876272682,246619239198420890,30176660013462851,932714814469403,29243945198993448,365,54138004457,34846728117,1861060084
2021-12-05 01:50:36.504518,2021-12-03 10:54:42-05:00,75,1,57190823,3035100381773496,2976891114887086,3005854846677052,57190000,3035100381773496,2976891114887086,3005854846677052,53309433478426,83499313709229,-30189880230803,112,17023924247,15433963328,2461459
2021-12-05 01:50:36.504518,2021-12-03 10:56:11-05:00,76,1,57190000,3035174800279580,2976818125420540,3005854846677052,57180000,3035174800279580,2976818125420540,3005854846677052,53208570582563,83472869319450,-30264298736887,111,17025310294,15405368005,29981370
2021-12-05 01:50:36.504518,2021-12-03 11:12:38-05:00,77,0,233950,253675158009137773,239759579219881949,246619239198420890,233950,261285412724044390,246952366572502449,254017816374373516,27431396164402502,1585837506801182,25845558657601320,368,54368033180,33674448332,1400547290
2021-12-05 01:50:36.504518,2021-12-03 14:16:23-05:00,78,1,57180000,3065253372343354,2947607346528954,3005854846677052,57180000,3218516040653996,3094987713560640,3156147589010904,86241333770065,146584204570726,-60342870800661,141,19321709878,17231753537,323352900
2021-12-05 01:50:36.504518,2021-12-03 14:26:39-05:00,79,0,233950,264192208915517311,244235253191128709,254017816374373516,233950,272117975156563609,251562310762439044,261638350865604721,28222403443987806,5283640977859407,22938762466128399,384,55763072840,34094199772,1064649366
2021-12-05 01:50:36.504518,2021-12-04 00:26:34-05:00,80,1,57180000,3322516007959368,2998109739654010,3156147589010904,57100000,3322516007959368,2998109739654010,3156147589010904,91137901403070,255480739509103,-164342838106033,177,21793286134,17293985039,1248108560
2021-12-05 01:50:36.504518,2021-12-04 00:32:07-05:00,81,1,57100000,3371874863251449,2954222208001467,3156147589010904,57090000,3371874863251449,2954222208001467,3156147589010904,91137901403070,304839594801184,-213701693398114,179,22043883939,17344681744,199901100
2021-12-05 01:50:36.504518,2021-12-04 00:37:57-05:00,82,1,57090000,3379344894250917,2947691909330079,3156147589010904,57020000,3379344894250917,2947691909330079,3156147589010904,90917481524530,312089205922112,-221171724397582,178,22081273020,15937051025,1445019800
2021-12-05 01:50:36.504518,2021-12-04 00:47:21-05:00,83,1,57020000,3417959240378066,2914390401717461,3156147589010904,57000000,3417959240378066,2914390401717461,3156147589010904,90214632089797,350000702614528,-259786070524731,178,22267722454,15644034639,479465820
2021-12-05 01:50:36.504518,2021-12-04 00:48:52-05:00,84,1,57000000,3433693708635002,2901035575353996,3156147589010904,56900000,3433693708635002,2901035575353996,3156147589010904,89749583208456,365270121990123,-275520538781667,178,22346841658,13192276443,2530877400
