,ts,record_id,user_authority,user,partial,base_asset_value,base_asset_value_closed,liquidation_fee,fee_to_liquidator,fee_to_insurance_fund,liquidator,total_collateral,collateral,unrealized_pnl,margin_ratio
2021-12-13 19:37:46.102580,2021-12-13 14:37:45-05:00,900,Fw2e6jxKVeFcJSe9MyVhSz3dUdJQLs3XULHrT1mtMU9U,591U5bexgLRJXygtK5fpCRXcZEq89KgewFTdfPkti8bY,True,123422662,30855665,189399,94699,94700,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,7575977,59638152,-52062175,613
2021-12-13 19:44:37.307614,2021-12-13 14:37:50-05:00,901,29rwdfrBkccfAXJdN6rhW5JNpCzDhg4oWF9ntWtMpQvo,HCjTVhGTSSqJFwQY68vSXYF7dQ1QCtz4EZca4HqmkYuo,True,139094738,34773684,215699,107849,107850,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,8627988,67954341,-59326353,620
2021-12-13 19:44:37.307614,2021-12-13 14:37:57-05:00,902,BrHRMouGRz3LBNzd9anfdYMhWfg8yUPHL4PqJ8WdEDFS,4uzoLa3mC2VYHAPBoHLX4gTjPTC28rPf2fvEGtJWPYc,True,1174278570,293569642,1805819,902909,902910,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,72232772,663746898,-591514126,615
2021-12-13 19:44:37.307614,2021-12-13 14:37:57-05:00,903,Ggjn39zkoAcCcmDmmzqYw8RFsMqjQGtAX8myhB3p4WQ4,FWnftuAeU86mR8RMR9qQwLfkujqcfzEiupBPkvWre3RS,True,127003500,31750875,196522,98261,98261,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,7860896,61404361,-53543465,618
2021-12-13 19:44:37.307614,2021-12-13 14:37:57-05:00,904,4M7XECgNotuYef6fXsB659bgvA4LBYq9WrUFZP8jEZ8q,EjF9ZKUaBWZodjKy7ET7rEyK1uSsKX2cvcd4eJSYarF8,True,160976082,40244020,249302,124651,124651,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,9972092,39844911,-29872819,619
2021-12-13 19:44:37.307614,2021-12-13 14:37:57-05:00,905,Ad4hjpPdExRAqUATSvqZYLBVNBcmtB2Pqh6MWwc1XGj,6TnqcHDyBnSZMds1eUc28aKuBThwGjAPsnaFKeC2fGnK,True,125827668,31456917,194457,97228,97229,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,7778312,60810252,-53031940,618
2021-12-13 19:44:37.307614,2021-12-13 14:37:57-05:00,906,9bhB755nk1VKCFQ15knBRdXESNqN6T1o3Lp3u214mARe,FvZuSbYfVMwGg8UUurGDFe7VVtoUBghrPNFYTr2gKCFc,True,128135818,32033954,196170,98085,98085,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,7846823,61945303,-54098480,612
2021-12-13 19:44:37.307614,2021-12-13 14:37:58-05:00,907,DjbEch16uzdDtujFUeqxjquTTS3JXzEys8e9ogUv3aTy,6N8eKb3kfcbJEUZKZERiFiUR4hubB635D8Sotiji2TU8,True,124489006,31122251,188413,94206,94207,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,7536537,60219724,-52683187,605
2021-12-13 19:44:37.307614,2021-12-13 14:38:14-05:00,908,B4Uc39nKzz9wBRQsCkMR4A7RwTJ8rSuwpR6EQn2AesRb,H49bGZgatRZVpj6QufZRVgYrQtH7LpdbiqKBs23151m,True,499239240,124809810,763522,381761,381761,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,30540895,318820016,-288279121,611
2021-12-13 19:44:37.307614,2021-12-13 14:38:23-05:00,909,3VdSA9CED9f5swRwHX2U15U7J6Muaq8VPnCNy9CaGDHe,2YYstfnfdYic5NWmEbcUEHpccNUVd1EhuCkExvMsoMk8,True,458602560,114650640,711863,355931,355932,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,28474559,122549648,-94075089,620
2021-12-13 19:44:37.307614,2021-12-13 14:38:24-05:00,910,9KD2AifD5wFD4QkHYuawXbJgLWHrfj2QPF3fT8jhGVA5,Ga9gAqmkuHbqrr31sUFPqa1xa5WNxLWJWGPUaMxQqLdj,True,89022240,22255560,137909,68954,68955,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,5516375,24322966,-18806591,619
2021-12-13 19:44:37.307614,2021-12-13 14:38:34-05:00,911,HGAFdundf5voDqeh9g7d6Q9mgMf8eEg898QMRBqwPZ6C,deanBuZXWBHEe2TGfP37S9aMBEnEgmZoyRJjAvruzfA,True,81777649,20444411,127243,63621,63622,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,5089727,44329595,-39239868,622
2021-12-13 19:44:37.307614,2021-12-13 14:38:34-05:00,912,i7TcF4weYcqgrRdH3GpndbEYxCxfcSfr9JWYrAUg1CF,BkDfknUir7PnSEW8auoB87PytycEFwyX5kT2GY4SGJJL,True,82297761,20574440,128769,64384,64385,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,5150772,47840386,-42689614,625
2021-12-13 19:44:37.307614,2021-12-13 14:39:26-05:00,913,Gs3WP18hbzNpbBgiU39e6tfkggfCKRyNqPqJQcthuHFD,4XAY25YUma6gUdG2GdbXeivum3t21g93ZagfWGTZYkWZ,True,232061242,58015309,360412,180206,180206,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,14416495,61829736,-47413241,621
2021-12-13 19:44:37.307614,2021-12-13 14:39:36-05:00,914,5Rxuqgs4CaSKbfDXqBMFXkLTQ9dxrUjThXzoy3ouYVtK,BgvbKru66ebrGUcFFymGTmsaQv6GgcGMybiWaXqzBtwX,True,14152320,3538080,21891,10945,10946,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,875643,4125672,-3250029,618
2021-12-13 19:44:37.307614,2021-12-13 14:41:12-05:00,915,H6UTHgiUSkFbavHHZAfGB8R74SHcGDpQLeP1acduznG6,Gz56dyUAKnQ2WAHuCi8CWd5wsikowFvNAi4bzxPUpuyT,True,1168405957,292101489,1823879,911939,911940,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,72955185,310844325,-237889140,624
2021-12-13 19:44:37.307614,2021-12-13 14:41:13-05:00,916,4MmpDGUTyMcYEqJ1RoZ46AN2BhrBUseHaHqF8AmiTPyD,7HW2YZpYM349HMfW7u4h9ESZ1AXkwN8JcVDTNFzp9aTz,True,1866070357,466517589,2915868,1457934,1457934,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,116634724,624579067,-507944343,625
2021-12-13 19:44:37.307614,2021-12-13 14:41:21-05:00,917,2dSDhkCA6Z4wKwZV26EM7quSht4SPh7UakvWn553vs5i,5Yre8DiDyMc1u4SZH7MAHN8rbJ5qyipGXYN5WUkYzhmw,True,6843753153,1710938288,10688316,5344158,5344158,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,427532665,2048653657,-1621120992,624
2021-12-13 19:44:37.307614,2021-12-13 14:41:22-05:00,918,8eTH6eJyyVeMno3UQkffeBg32xofKsQfkhLhXdtaf87s,BCFC7CPXrQPsUfJb2eYSht8GhaApWHpc49AeCXqaYq13,True,35569361,8892339,54960,27480,27480,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,2198422,8321565,-6123143,618
2021-12-13 19:44:37.307614,2021-12-13 14:41:22-05:00,919,9YEzjb49Awvedv9yNc6LG54SkGBug2RYiJwiUV13mGsS,3H8w5WCD187NWWoZMNUCzUDdxTgqrRJLga8gDzUVXBgZ,True,17043257,4260814,26561,13280,13281,4BnQKPLuE3DMTtxp8MjUBytgnhvxqq3ZTqZHTVZo4JJh,1062457,6890961,-5828504,623
2021-12-13 19:44:37.307614,2021-12-13 14:42:21-05:00,920,84SgzR8J6DeqPJ1uXphP1BHMotYGKh3kS4owMMj9x58x,CL7Jkwe3NK4qaAVK2QjuftXnQ5YLqDT9qYeeEi7kJXrV,True,50978753096,12744688274,79248206,39624103,39624103,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,3169928269,22191175173,-19021246904,621
2021-12-13 19:44:37.307614,2021-12-13 14:42:33-05:00,921,7mYQ2DJZ1YYMpNbpA93hCDtzQDhEHjAGxLJt2g4KeYTW,8nTKeruC3wiPjT7VytdM2gX7msjwbHxTkyhsR88GJgpc,True,29673984,7418496,45560,22780,22780,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,1822414,7945731,-6123317,614
2021-12-13 19:44:37.307614,2021-12-13 14:42:33-05:00,922,Dng7By2saPu5TVxcvXidBe71ggBo8tiHkAXPi4kKL1tk,75ufEJmHbLHffphL7tvAXhGyftKLr1z2PXXoB2GGY5fG,True,33168358,8292089,51190,25595,25595,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,2047632,7899542,-5851910,617
2021-12-13 19:44:37.307614,2021-12-13 14:42:35-05:00,923,BpvWyveup3q7q6Cws5TWkFYiZ8bQXRrfdxvzrN9FnYo6,2CWjropYSn9fJ66FT4zqUcwTrEaPp3CjGgoRATixyca1,True,16844400,4211100,25377,12688,12689,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,1015114,6116511,-5101397,602
2021-12-13 19:44:37.307614,2021-12-13 14:42:35-05:00,924,F7ZpqKKvip659597Jpy6dB91CXS1Cqvxu734GV8mrWFk,BeCPgg2XqH44ed2BYYDadJNZzYTFKBHWhC2oFgQGZTCc,True,1164082561,291020640,1734749,867374,867375,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,69389993,311602691,-242212698,596
2021-12-13 19:44:37.307614,2021-12-13 14:42:35-05:00,925,8G2hAWXgJZRNMv32dcGkCrsMpqs1aTmGo2rsDm2VZ5Fn,4PMxnUH1oQQdtchAZ2sKDYkg8iiFCFxCS7yE9iP5bQyi,True,12468833,3117208,19298,9649,9649,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,771926,6647922,-5875996,619
2021-12-13 19:44:37.307614,2021-12-13 14:42:44-05:00,926,EXP61AETWHw3kHSjrJH1jQBt6cXR9Zebz34Cueb3KAzg,2JT9GrgdUKjuQQtXvZqevbjFquUQBMYDoADmBjDKWXj3,True,1231050759,307762689,1833012,916506,916506,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,73320518,602701469,-529380951,595
2021-12-13 19:44:37.307614,2021-12-13 14:42:44-05:00,927,HqtTbC1LFreGvgfpZe7nCqkNnh8GHPQKosfmc19zb1yi,E39UNiHNkwQEd5GXkCtTPqSorQSB1kLx8kjzK4jdFoi3,True,4802304283,1200576070,6944243,3472121,3472122,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,277769723,1433639233,-1155869510,578
2021-12-13 19:44:37.307614,2021-12-13 14:42:44-05:00,928,EAUFD16wab8qRMJ4H6updHGt4xFqgRCDeRHVCsLCTSTL,8vkfYSyCyBY9g4TZrp52jUcQj6udy9xAaA4fioRE2RXx,True,354977855,88744463,535214,267607,267607,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,21408573,127454485,-106045912,603
2021-12-13 19:44:37.307614,2021-12-13 14:42:49-05:00,929,3njiRuSRMXRzKmamyiR72Hc38PU8UDDmWdfPhgxmGxEW,5WoF3gkgygyNNbwxWgVfqGWkExcDixuzgJQQjXEZQ6J5,True,7142196617,1785549154,10315099,5157549,5157550,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,412603993,3719936705,-3307332712,577
2021-12-13 19:44:37.307614,2021-12-13 14:43:04-05:00,930,4FazDUgfQ3AKoFcnWHr8E9Ht8jLA3tkxf75yrGZVHdmF,HzRMH6mbgEKydRCnnMvSsKgTEVNQi6nuzoR1xutYFdzg,True,873569,218392,1353,676,677,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,54135,445145,-391010,619
2021-12-13 19:44:37.307614,2021-12-13 14:43:09-05:00,931,2ce2v2TCbjNH635NgbwTG3sqiRWYrRRaBpxPxBZJ929q,9cnoebT43FkWDFhidndGCVNiFD4NErv8DuL1Va4Jv9S8,True,85765134,21441283,133559,66779,66780,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,5342378,47407311,-42064933,622
2021-12-13 19:44:37.307614,2021-12-13 14:43:11-05:00,932,2XnLbeSYLmYWRhErrHMyaXTFtLGMZu6S5fDzp3KkFGC5,8zatCNqr7MQuJXeL7aUFSDGrrEEwa6fgviFu6M1WErHX,True,67674482,16918620,105825,52912,52913,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,4233029,19578192,-15345163,625
2021-12-13 19:44:37.307614,2021-12-13 14:44:21-05:00,933,6QZamUpLHzSzJhj1XtzPP5dHQRvTUmaqRmntxcLfWwE3,D9F6yp639JKp473cZTsB5puUr1URdi18ZxZTFXE1p8py,True,24080941,6020235,37309,18654,18655,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,1492392,7678665,-6186273,619
2021-12-13 19:51:14.546485,2021-12-13 14:47:17-05:00,934,36ByQojnxEckWdQTjqHfxKqCx9yjqWQsPsZyqaN72UWR,AZoirtS1fjX61agRM64tqThVinnJTh3BWgiHyNHPTgZP,True,40203685,10050921,62912,31456,31456,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,2516509,11211627,-8695118,625
2021-12-13 20:12:40.338140,2021-12-13 15:08:38-05:00,935,FCrgF8s6BHP9Hho11yzZgbSaVXraUxJA3zSEzQK52DFQ,HAikgTkQvmKEseE5mXxVFKe1pyvVmTZePHh4M27YgFDg,True,2387658,596914,3420,1710,1710,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,136805,567455,-430650,572
