,ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-01-11 18:12:21.587685,2022-01-11 13:01:35-05:00,17325,5gr42Chp7RwCo8jfGrTZpKpQu9WQhnThDP3hub3sUWBn,4FMY1M5ShUpro6eRQ883ptYFyK8DGebT1jKMKFqm1KBe,DepositDirection.WITHDRAW(),2500343623,2081670000,2000000000
2022-01-11 18:12:21.587685,2022-01-11 13:05:34-05:00,17326,4Gbr4Jw6TAYt1uXLAmcTzAbYfC3eV7hReKWo9kCN9eT6,CKKygLVg5uiA7Xbc3pPNWAe46eCu1ar57NSygcWs2k2q,DepositDirection.DEPOSIT(),0,0,1200000000
2022-01-11 18:12:21.587685,2022-01-11 13:07:58-05:00,17327,CRW3nidAs2C3irLsEMsnffCvcjZH3wMBoKXG8PRp1Ss8,GD2un4iqMrnZ1kKnGLbzaSQy5iKjGSHHDN58tKibtHN3,DepositDirection.DEPOSIT(),0,320000000,9000000
2022-01-11 18:35:06.798248,2022-01-11 13:19:25-05:00,17328,HrzTdKvLA7WJULpJ4SMZyHwoZS3ZwnUH932xs5j5A66q,7U34dU59gxjaMz7T4szCQZs1sDCzRDY3khUm5JQLg3Vi,DepositDirection.WITHDRAW(),160118572,150000000,160110000
2022-01-11 18:51:37.397296,2022-01-11 13:35:19-05:00,17329,EAUFD16wab8qRMJ4H6updHGt4xFqgRCDeRHVCsLCTSTL,8vkfYSyCyBY9g4TZrp52jUcQj6udy9xAaA4fioRE2RXx,DepositDirection.DEPOSIT(),519600022,2217560000,497000000
2022-01-11 18:51:37.397296,2022-01-11 13:42:02-05:00,17330,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,J4kGq2xVmSku73SfzjExKgpdJgjfZ6HBFvgKBsxsmPvr,DepositDirection.WITHDRAW(),2678383721,3216260001,1678380000
2022-01-11 18:51:37.397296,2022-01-11 13:48:08-05:00,17331,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,DepositDirection.DEPOSIT(),21439727491,17662144719,3449697036
2022-01-11 18:51:37.397296,2022-01-11 13:48:39-05:00,17332,8Rkpu9pFs1BVRmoZcFAx9gWYou6TgqW4EysqxVK9uPNi,2JUaz5JKmzmPtiaCWH5wQfWBqya9WjBv1oB7st3pMXQV,DepositDirection.DEPOSIT(),0,0,110000000
2022-01-11 18:57:59.040859,2022-01-11 13:52:02-05:00,17333,GTdrbgqgoDtWiYxXnVv5HHVmTSsxtY2c56891bZYKkUT,EhViCtvvvz8wpGZSfghevezpHRCQYPtjEqf2ZVpxyKoV,DepositDirection.DEPOSIT(),0,0,69000000
2022-01-11 19:10:40.996627,2022-01-11 14:04:29-05:00,17334,2ZQqMo1z3GbBexSTVDVFZAHZ34JUkrZQbDdPUGFhRyMA,FYwhNxZtNgBDjz1w41gtYH3gDcTjSaNzkMFhApEvYF13,DepositDirection.DEPOSIT(),11747257898,9010140000,2400000000
2022-01-11 19:22:55.454143,2022-01-11 14:14:20-05:00,17335,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,Cy8FP7bE9YT9nD65GTVtaCNT7xHRaSnjiHxVuusb6dFR,DepositDirection.DEPOSIT(),19180430138,10500000000,6000000000
2022-01-11 19:22:55.454143,2022-01-11 14:14:53-05:00,17336,GTdrbgqgoDtWiYxXnVv5HHVmTSsxtY2c56891bZYKkUT,EhViCtvvvz8wpGZSfghevezpHRCQYPtjEqf2ZVpxyKoV,DepositDirection.WITHDRAW(),68750671,69000000,68750000
2022-01-11 19:29:17.359071,2022-01-11 14:23:48-05:00,17337,H69q3Q8E74xm7swmMQpsJLVp2Q9JuBwBbxraAMX5Drzm,5RiCCwr1YLn1136t6pprm9FAvcrJNG8VA394CYHpYbtA,DepositDirection.WITHDRAW(),9670058156,-6193969999,4672520000
2022-01-11 19:42:46.985628,2022-01-11 14:37:28-05:00,17338,GQmAKyJBTjDhfECzSTj2n2URTPcEeSMErUxAEg2DpEEK,ANamKGCMn79ieqCWd8DeyWXxMeVUin728yEpfcEv9y1m,DepositDirection.DEPOSIT(),225160666196,177864305000,40000000000
2022-01-11 19:49:29.593447,2022-01-11 14:42:47-05:00,17339,FUG9tcLbLgaRB1WtF9FYRM1zNwRJ2yiWufUAGKbnCABH,C1kBDN314sYNHDdrcHhW2gouF6q4449pVHPd3kcEeGyg,DepositDirection.DEPOSIT(),12699380225,19955550000,2000000000
2022-01-11 19:49:29.593447,2022-01-11 14:48:02-05:00,17340,FUG9tcLbLgaRB1WtF9FYRM1zNwRJ2yiWufUAGKbnCABH,C1kBDN314sYNHDdrcHhW2gouF6q4449pVHPd3kcEeGyg,DepositDirection.DEPOSIT(),14692411505,21955550000,5000000000
